date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,wet_bulb_temperature_2m,sunshine_duration,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
2025-03-23 16:00:00+00:00,13.614500333333332,65.66666666666667,7.275743566666667,11.784209666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,1006.0333333333333,992.9132333333333,98.33333333333333,23.666666666666668,90.33333333333333,65.33333333333333,0.10904156,0.5364006,7.7802334,7.2802696,210.76505333333333,254.09860333333333,19.439999333333333,,,9.870998333333333,1711.2516666666668,172.66666666666666,38.666666666666664,134.0,110.079904,172.66666666666666,481.88632,135.547505,30.362410666666666,105.18509333333333,86.43825666666667,135.547505,378.1848233333333
2025-03-23 17:00:00+00:00,12.797833333333335,71.0,7.6521046,11.620786333333333,0.0,0.0,0.0,0.0,1006.3000000000001,993.1386000000001,88.0,18.0,61.666666666666664,53.666666666666664,0.051934677000000005,0.4290126566666667,3.933074566666667,3.501640666666667,185.13259000000002,296.5650733333334,16.319999499999998,,,9.676165333333334,1200.0,89.33333333333333,19.0,70.33333333333333,97.30989190000001,89.33333666666665,266.6592733333334,51.018814,10.878783533333333,40.14003,55.71616533333334,51.01881733333334,152.11849333333333
2025-03-23 18:00:00+00:00,11.064499666666668,76.33333333333333,7.0550523,9.741756833333334,0.0,0.0,0.0,0.0,1007.0,993.7481799999999,98.0,18.666666666666668,34.0,79.33333333333333,0.020508021666666668,0.31265582666666664,3.9391746333333337,2.1194283333333335,160.05962533333334,259.67877333333337,8.159999833333334,,,8.584542333333333,0.0,11.666666666666666,1.6666666666666667,10.0,18.045178,11.666666,66.29428,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23 19:00:00+00:00,9.5145,80.66666666666667,6.349648333333334,8.027127333333333,0.0,0.0,0.0,0.0,1007.5,994.1677366666667,77.33333333333333,15.666666666666666,29.666666666666668,57.666666666666664,0.0,0.23192083333333333,3.9709898,2.2647606000000002,158.04848,237.2187066666667,6.959999833333332,,,7.524702433333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23 20:00:00+00:00,7.881166666666666,87.0,5.8397353333333335,6.218906833333333,0.0,0.0,0.0,0.0,1008.0666666666666,994.64884,35.333333333333336,8.666666666666666,19.666666666666668,14.666666666666666,0.0,0.14145732,4.3944599,1.3708289333333334,154.44149666666667,38.52006866666667,7.799999666666667,,,6.542161866666667,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
2025-03-23 21:00:00+00:00,6.547833333333333,89.33333333333333,4.9156073000000005,4.7063058333333325,0.0,0.0,0.0,0.0,1008.4333333333334,994.9473133333335,58.666666666666664,8.0,13.666666666666666,47.666666666666664,0.0,0.10446347866666666,4.2711056,2.2647607,149.59373333333335,80.58757800000001,8.039999566666667,,,5.457892666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23 22:00:00+00:00,5.481166666666667,90.66666666666667,4.074916,3.4746428666666667,0.0,0.0,0.0,0.0,1008.7666666666668,995.2247533333333,69.66666666666667,8.0,0.0,64.66666666666667,0.0,0.08497427033333334,4.217541466666666,3.1499206333333336,153.05367,79.66401333333333,8.039999666666667,,,4.528512066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23 23:00:00+00:00,4.647833433333333,92.0,3.4572096,2.5789724666666665,0.0,0.0,0.0,0.0,1009.0333333333333,995.4472,67.33333333333333,13.0,0.0,57.333333333333336,0.0,0.06949720866666666,3.8085033999999998,2.8463395333333334,143.01143,67.38876333333333,7.440000266666668,,,3.821764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 00:00:00+00:00,3.8645,94.33333333333333,3.027571933333333,1.7458372233333332,0.0,0.0,0.0,0.0,1009.2333333333332,995.6055766666667,83.33333333333333,25.333333333333332,0.0,73.66666666666667,0.0,0.048821727333333335,3.5861125,2.413292323333333,139.23194333333333,64.22673353333333,6.5999998333333325,,,3.2449002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 01:00:00+00:00,3.3645,95.33333333333333,2.674880066666667,1.24275193,0.0,0.0,0.0,0.0,1009.4,995.7454199999999,79.33333333333333,28.666666666666668,5.333333333333333,69.0,0.0,0.040231704666666666,3.1536528333333336,3.1056736,135.00003333333333,331.15712,5.999999933333334,,,2.8321722333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 02:00:00+00:00,3.0478334,96.0,2.454679666666667,0.9809153500000001,0.0,0.0,0.0,0.0,1009.5,995.8283833333334,75.0,31.666666666666668,11.333333333333334,64.66666666666667,0.0,0.034826597,2.497998433333333,3.2529706666666667,131.23003666666668,328.7562766666667,5.399999966666666,,,2.5728623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 03:00:00+00:00,2.7811666333333336,97.0,2.3354748766666664,0.7647321466666667,0.0,0.0,0.0,0.0,1009.7333333333332,996.0457133333333,71.0,35.0,16.666666666666668,60.0,0.0,0.026445488200000002,1.9974099333333335,2.4639904,130.668448,316.4663233333333,4.799999833333334,,,2.3941563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 04:00:00+00:00,2.231166733333333,98.33333333333333,1.9870771666666667,0.18774906666666658,0.0,0.0,0.0,0.0,1010.1333333333333,996.4140000000001,79.66666666666667,47.0,32.0,69.33333333333333,0.0,0.014192482,1.7541468,2.8280734666666665,148.53372666666667,288.93317666666667,4.3199998,,,1.9634459633333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24 05:00:00+00:00,1.7145000133333335,99.66666666666667,1.6669263433333334,-0.4026572,0.0,0.0,0.0,0.0,1010.6999999999999,996.94835,88.66666666666667,58.333333333333336,48.0,79.33333333333333,0.0,0.0026556053333333333,1.8715509666666668,3.984279166666667,175.47656666666668,279.57346,3.8399998666666666,,,1.5650259633333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
