date,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,ozone,dust,ammonia
2025-03-20 22:00:00+00:00,25.96666666666667,22.666666666666668,310.0,,2.2333333333333334,43.333333333333336,0.0,5.1000000000000005
2025-03-20 23:00:00+00:00,23.933333333333334,20.400000000000002,294.3333333333333,,2.2333333333333334,44.666666666666664,0.0,4.933333333333334
2025-03-21 00:00:00+00:00,23.900000000000002,19.900000000000002,279.0,,2.6,45.666666666666664,0.0,4.5
2025-03-21 01:00:00+00:00,21.866666666666664,18.599999999999998,270.0,,3.3000000000000003,42.333333333333336,0.0,4.466666666666667
2025-03-21 02:00:00+00:00,21.933333333333334,18.766666666666666,263.3333333333333,,3.066666666666667,37.666666666666664,0.0,4.6000000000000005
2025-03-21 03:00:00+00:00,20.966666666666665,17.8,265.3333333333333,,3.466666666666667,35.666666666666664,0.3333333333333333,4.433333333333334
2025-03-21 04:00:00+00:00,20.233333333333334,17.566666666666666,261.3333333333333,,3.5666666666666664,36.666666666666664,0.6666666666666666,4.633333333333334
2025-03-21 05:00:00+00:00,20.266666666666666,16.8,258.3333333333333,,3.6333333333333333,34.666666666666664,0.6666666666666666,4.566666666666666
2025-03-21 06:00:00+00:00,20.333333333333332,16.666666666666668,271.6666666666667,,3.6666666666666665,30.666666666666668,0.6666666666666666,5.0
2025-03-21 07:00:00+00:00,22.03333333333333,16.900000000000002,311.6666666666667,,4.066666666666666,31.333333333333332,0.6666666666666666,5.933333333333334
2025-03-21 08:00:00+00:00,20.599999999999998,16.766666666666666,312.0,,3.966666666666667,35.666666666666664,0.3333333333333333,6.0
2025-03-21 09:00:00+00:00,19.333333333333332,15.799999999999999,301.6666666666667,,4.5,48.333333333333336,0.3333333333333333,6.166666666666667
2025-03-21 10:00:00+00:00,15.433333333333332,11.766666666666666,255.33333333333334,,4.433333333333334,59.333333333333336,0.3333333333333333,5.133333333333334
2025-03-21 11:00:00+00:00,12.799999999999999,9.966666666666667,197.0,,3.1333333333333333,90.66666666666667,0.6666666666666666,4.333333333333333
2025-03-21 12:00:00+00:00,10.566666666666666,8.533333333333333,184.0,,2.3,97.33333333333333,1.3333333333333333,4.066666666666666
2025-03-21 13:00:00+00:00,10.733333333333334,8.299999999999999,175.66666666666666,,1.8999999999999997,102.0,1.6666666666666667,3.6333333333333333
2025-03-21 14:00:00+00:00,10.933333333333332,7.566666666666666,173.0,,1.8,105.0,1.6666666666666667,3.6999999999999997
2025-03-21 15:00:00+00:00,10.666666666666666,7.233333333333333,178.66666666666666,,1.6666666666666667,102.33333333333333,1.6666666666666667,3.9333333333333336
2025-03-21 16:00:00+00:00,10.333333333333334,8.233333333333333,193.0,,1.7333333333333334,96.33333333333333,2.0,4.533333333333333
2025-03-21 17:00:00+00:00,11.633333333333333,9.5,205.33333333333334,,1.866666666666667,92.33333333333333,1.0,5.033333333333333
2025-03-21 18:00:00+00:00,12.866666666666667,10.9,212.33333333333334,,2.0333333333333337,89.0,1.0,5.266666666666667
2025-03-21 19:00:00+00:00,13.133333333333333,11.6,207.33333333333334,,1.9666666666666668,86.66666666666667,1.0,5.366666666666667
2025-03-21 20:00:00+00:00,13.5,11.966666666666667,202.66666666666666,,1.7666666666666668,85.0,0.6666666666666666,5.466666666666666
2025-03-21 21:00:00+00:00,13.700000000000001,11.866666666666667,201.0,,1.6333333333333335,82.66666666666667,1.0,5.133333333333333
2025-03-21 22:00:00+00:00,14.399999999999999,11.833333333333334,198.66666666666666,,1.6666666666666667,80.33333333333333,1.0,4.733333333333333
2025-03-21 23:00:00+00:00,14.200000000000001,12.133333333333333,199.66666666666666,,1.7333333333333334,78.0,1.0,4.0
2025-03-22 00:00:00+00:00,14.700000000000001,12.533333333333333,199.66666666666666,,1.6333333333333335,75.66666666666667,1.0,3.733333333333333
2025-03-22 01:00:00+00:00,15.1,12.5,198.0,,1.5333333333333332,71.0,1.3333333333333333,3.233333333333333
2025-03-22 02:00:00+00:00,16.166666666666668,12.1,199.66666666666666,,1.9333333333333333,65.33333333333333,1.3333333333333333,3.1
2025-03-22 03:00:00+00:00,17.233333333333334,13.166666666666666,204.0,,2.3333333333333335,56.666666666666664,1.3333333333333333,3.0666666666666664
2025-03-22 04:00:00+00:00,17.3,13.733333333333334,204.66666666666666,,2.5666666666666664,51.0,1.3333333333333333,3.3666666666666667
2025-03-22 05:00:00+00:00,18.733333333333334,14.433333333333332,208.66666666666666,,2.966666666666667,44.0,1.3333333333333333,3.733333333333333
2025-03-22 06:00:00+00:00,20.933333333333334,15.800000000000002,221.66666666666666,,3.533333333333333,37.0,1.3333333333333333,4.066666666666666
2025-03-22 07:00:00+00:00,21.733333333333334,16.333333333333332,246.0,,3.8000000000000003,37.0,1.3333333333333333,4.933333333333334
2025-03-22 08:00:00+00:00,21.866666666666664,16.633333333333333,245.66666666666666,,5.233333333333333,41.0,1.3333333333333333,5.1000000000000005
2025-03-22 09:00:00+00:00,19.866666666666664,15.966666666666667,245.0,,6.433333333333334,46.0,1.6666666666666667,5.1000000000000005
2025-03-22 10:00:00+00:00,18.066666666666666,13.566666666666668,215.66666666666666,,6.366666666666667,59.666666666666664,1.6666666666666667,3.9
2025-03-22 11:00:00+00:00,13.6,11.0,194.33333333333334,,4.833333333333333,72.66666666666667,2.3333333333333335,3.266666666666667
2025-03-22 12:00:00+00:00,11.299999999999999,8.799999999999999,184.66666666666666,,3.5,79.33333333333333,2.6666666666666665,2.6999999999999997
