date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,wet_bulb_temperature_2m,sunshine_duration,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
2025-03-20 22:00:00+00:00,7.293777795833332,66.40277777777777,1.184969341111111,4.703523479444445,0.0,0.0,0.0,0.006805555555555555,1022.0819444444444,989.1695191666666,12.222222222222221,0.09722222222222222,8.847222222222221,4.291666666666667,0.006301909342263889,0.3539738058472222,4.738142761111111,12.235392415277778,137.83490482638888,167.9253036722222,9.369999798611111,6.8125,0.343375,4.131607425694444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20 23:00:00+00:00,6.713222281944444,68.18055555555556,0.9933730406527778,4.122344941388889,0.001388888888888889,0.0,0.0,0.006805555555555555,1021.938888888889,988.9828869444445,13.166666666666666,0.8194444444444444,10.01388888888889,2.6527777777777777,0.004956227,0.322710072875,4.535402778472222,12.270248343055556,146.21394858333332,168.18871091666668,9.0199997375,6.44375,0.343125,3.7489572829166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 00:00:00+00:00,6.133361138888889,70.25,0.9017438080694444,3.5227781518055554,0.0,0.0,0.0,0.006805555555555555,1021.7986111111111,988.7953095833333,9.666666666666666,1.8888888888888888,5.819444444444445,2.6527777777777777,0.004086688083861111,0.2898399231666666,4.529312201111111,12.1080136,151.31385327777778,158.3034693375,8.504999798611111,6.13125,0.343125,3.385589884027778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 01:00:00+00:00,5.645861122222223,71.86111111111111,0.7702428175625,3.003764465375,0.0,0.0,0.0,0.006805555555555555,1021.5805555555556,988.5464929166667,9.875,3.5694444444444446,6.25,0.7777777777777778,0.0038283343883333334,0.26412061966666667,4.595374955555555,12.153937172222221,149.17529409722223,158.31171479166667,8.799999775972221,5.875,0.343125,3.069352188472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 02:00:00+00:00,5.1423888875,73.61111111111111,0.6250411856944444,2.4809910605694445,0.0,0.0,0.0,0.006805555555555555,1021.3291666666667,988.2546975,12.75,4.458333333333333,6.041666666666667,3.2083333333333335,0.0033733122347222224,0.2399354611527778,4.568018572916667,11.814644368055555,138.81791977083333,162.73714059722224,8.834999886111111,5.6875,0.342875,2.7401671912694443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 03:00:00+00:00,4.84377777375,74.34722222222223,0.47613825605555554,2.1414611249027775,0.0,0.0,0.0,0.006805555555555555,1021.0722222222222,987.9758148611111,15.833333333333334,4.638888888888889,6.819444444444445,5.541666666666667,0.0030086806881944443,0.22896156947222224,4.676851489861111,11.517034829166667,142.07214440277778,146.8597580138889,8.744999719444444,5.5,0.342875,2.5177508212777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 04:00:00+00:00,4.555583313263889,75.31944444444444,0.38178356406944447,1.8196520047222222,0.0,0.0,0.0,0.006805555555555555,1020.9819444444444,987.8630875000001,16.52777777777778,4.916666666666667,2.9583333333333335,9.055555555555555,0.00271830338125,0.21638370156944445,4.796729430555555,11.695754814861111,123.69277372916667,143.8580969861111,8.874999809722222,5.1625,0.342875,2.3240745534444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 05:00:00+00:00,4.213916702847222,76.79166666666667,0.31674397675,1.404669082361111,0.0,0.0,0.0,0.006805555555555555,1021.0111111111112,987.8587625,15.180555555555555,3.0694444444444446,2.736111111111111,10.791666666666666,0.0031132685956944445,0.19966277518055556,5.224275521805556,11.995762016666667,129.7713515972222,140.55202034722222,9.154999894444444,4.825,0.34275,2.118656892763889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21 06:00:00+00:00,4.190305562555555,77.05555555555556,0.33005710645833336,1.3805156895398611,0.0,0.0,0.0,0.006805555555555555,1020.9486111111112,987.8009595833332,16.02777777777778,3.486111111111111,5.097222222222222,10.583333333333334,0.015871504395833333,0.19769064713194445,5.252212458333333,12.849939209722223,124.62239431944444,132.79291754166667,9.744999730555556,4.93125,0.34275,2.116835783840278,21.233935208333335,12.788194444444445,2.8796948659444443,9.908499580555555,30.86698894263889,12.788194284722222,57.399481083333335,29.675132151388887,6.592524652125,23.082607540277778,37.449340371944444,15.234200009722223,134.5331966111111
2025-03-21 07:00:00+00:00,5.642388886111111,73.38888888888889,1.0659753473333333,2.922256469166667,0.0,0.0,0.0,0.006805555555555555,1020.9000000000001,987.92502,12.527777777777779,2.8055555555555554,4.916666666666667,6.833333333333333,0.04266607979166667,0.25302718425,5.427411650555555,13.575546704166667,118.28146176388888,119.63864454583333,10.549999744444444,5.75,0.342625,3.1793368556944444,3420.9738180555555,111.95486111111111,55.076053625,56.87880756944444,302.02018881944446,111.95485930555554,244.87190666666663,160.83024826388888,78.69334304861111,82.13690491666667,431.4734825277778,159.91275547222222,352.1357533333333
